[texto72] [mistério] [em]
[capital] [quase] [fabricar]
[quase] [fabricar] [antes]
[fabricar] [antes] [de]
[antes] [de] [ano]
[de] [ano] [prejuízo]
[ano] [prejuízo] [duplo]
[prejuízo] [duplo] [carro]
[duplo] [carro] [serviço]
[carro] [serviço] [além=de]
[serviço] [além=de] [prejuízo]
[além=de] [prejuízo] [de]
[prejuízo] [de] [carro]
[de] [carro] [comprar]
[carro] [comprar] [em]
[comprar] [em] [dezembro]
[em] [dezembro] [de]
[dezembro] [de] [por]
[de] [por] [r]
[por] [r] [último]
[r] [último] [parcela]
[último] [parcela] [quitar]
[parcela] [quitar] [em]
[quitar] [em] [dia]
[em] [dia] [jairo]
[dia] [jairo] [ter]
[jairo] [ter] [furtar]
[ter] [furtar] [equipamento]
[furtar] [equipamento] [de]
[equipamento] [de] [trabalho]
[de] [trabalho] [peça]
[trabalho] [peça] [de]
[peça] [de] [reposição]
[de] [reposição] [máquina]
[reposição] [máquina] [de]
[máquina] [de] [cliente]
[de] [cliente] [levar]
[cliente] [levar] [para]
[levar] [para] [conserto]
[para] [conserto] [de]
[conserto] [de] [lavar]
[de] [lavar] [louça]
[lavar] [louça] [secador]
[louça] [secador] [de]
[secador] [de] [roupa]
[de] [roupa] [ser]
[roupa] [ser] [mau]
[ser] [mau] [sensação]
[mau] [sensação] [poder]
[sensação] [poder] [imaginar]
[poder] [imaginar] [levar]
[imaginar] [levar] [ganha-pão]
[levar] [ganha-pão] [não]
[ganha-pão] [não] [ser]
[não] [ser] [carro]
[ser] [carro] [novo]
[carro] [novo] [não]
[novo] [não] [ter]
[não] [ter] [seguro]
[ter] [seguro] [saber]
[seguro] [saber] [destino]
[saber] [destino] [poder]
[destino] [poder] [ter]
[poder] [ter] [ser]
[ter] [ser] [desmanchar]
[ser] [desmanchar] [lamentar]
[desmanchar] [lamentar] [morador]
[lamentar] [morador] [de]
[morador] [de] [cachoeirinha]
[de] [cachoeirinha] [há]
[cachoeirinha] [há] [ano]
[há] [ano] [jairo]
[ano] [jairo] [ter]
[jairo] [ter] [problema]
[ter] [problema] [cardíaco]
[problema] [cardíaco] [desde=então]
[cardíaco] [desde=então] [capacidade]
[desde=então] [capacidade] [de]
[capacidade] [de] [trabalho]
[de] [trabalho] [ser]
[trabalho] [ser] [reduzir]
[ser] [reduzir] [fiorino]
[reduzir] [fiorino] [ser]
[fiorino] [ser] [mão]
[ser] [mão] [em]
[mão] [em] [roda]
[em] [roda] [empresa]
[roda] [empresa] [para]
[empresa] [para] [prestar]
[para] [prestar] [serviço]
[prestar] [serviço] [pedir]
[serviço] [pedir] [gente]
[pedir] [gente] [ter]
[gente] [ter] [carro]
[ter] [carro] [para]
[carro] [para] [fazer]
[para] [fazer] [atendimento]
[fazer] [atendimento] [gente]
[atendimento] [gente] [rodar]
[gente] [rodar] [cidade]
[rodar] [cidade] [ressaltar]
[cidade] [ressaltar] [jairo]
[ressaltar] [jairo] [ligar]
[jairo] [ligar] [para]
[ligar] [para] [brigada]
[para] [brigada] [em]
[brigada] [em] [dia]
[em] [dia] [dizer]
[dia] [dizer] [haver]
[dizer] [haver] [viatura]
[haver] [viatura] [em]
[viatura] [em] [volta]
[em] [volta] [caminhar]
[volta] [caminhar] [por]
[caminhar] [por] [lugar]
[por] [lugar] [não]
[lugar] [não] [encontrar]
[não] [encontrar] [pm]
[encontrar] [pm] [pegar]
[pm] [pegar] [táxi]
[pegar] [táxi] [ir]
[táxi] [ir] [a]
[ir] [a] [palácio=da=polícia]
[a] [palácio=da=polícia] [fazer]
[palácio=da=polícia] [fazer] [registro]
[fazer] [registro] [em]
[registro] [em] [trajeto]
[em] [trajeto] [não]
[trajeto] [não] [ver]
[não] [ver] [policial]
[ver] [policial] [contar]
[policial] [contar] [jairo]
[contar] [jairo] [contar]
[jairo] [contar] [com]
[contar] [com] [carona]
[com] [carona] [de]
[carona] [de] [amigo]
[de] [amigo] [para]
[amigo] [para] [trabalhar]
[para] [trabalhar] [impunidade]
[trabalhar] [impunidade] [incentivar]
[impunidade] [incentivar] [de]
[incentivar] [de] [janeiro]
[de] [janeiro] [a]
[janeiro] [a] [setembro]
[a] [setembro] [furto]
[setembro] [furto] [de]
[furto] [de] [veículo]
[de] [veículo] [em]
[veículo] [em] [capital]
[em] [capital] [crescer]
[capital] [crescer] [%]
[crescer] [%] [em=relação=a]
[%] [em=relação=a] [período]
[em=relação=a] [período] [de]
[período] [de] [comparar]
[de] [comparar] [a]
[comparar] [a] [crescimento]
[a] [crescimento] [ser]
[crescimento] [ser] [de]
[ser] [de] [%]
[de] [%] [em]
[%] [em] [período]
[em] [período] [de]
[período] [de] [ano]
[de] [ano] [número]
[ano] [número] [de]
[número] [de] [roubo]
[de] [roubo] [de]
[roubo] [de] [carro]
[de] [carro] [quando]
[carro] [quando] [dono]
[quando] [dono] [ser]
[dono] [ser] [ameaçar]
[ser] [ameaçar] [crescer]
[ameaçar] [crescer] [%]
[crescer] [%] [para]
[%] [para] [titular]
[para] [titular] [de]
[titular] [de] [delegacia=de=furto]
[de] [delegacia=de=furto] [roubo=de=veículos]
[delegacia=de=furto] [roubo=de=veículos] [dfrv]
[roubo=de=veículos] [dfrv] [de]
[dfrv] [de] [deic]
[de] [deic] [delegar]
[deic] [delegar] [juliano=ferreira]
[delegar] [juliano=ferreira] [mercado]
[juliano=ferreira] [mercado] [favorecer]
[mercado] [favorecer] [bandido]
[favorecer] [bandido] [ser]
[bandido] [ser] [atrativo]
[ser] [atrativo] [risco]
[atrativo] [risco] [criminoso]
[risco] [criminoso] [correr]
[criminoso] [correr] [a]
[correr] [a] [furtar]
[a] [furtar] [ser]
[furtar] [ser] [pequeno]
[ser] [pequeno] [perto=de]
[pequeno] [perto=de] [lucro]
[perto=de] [lucro] [ter]
[lucro] [ter] [repassar]
[ter] [repassar] [carro]
[repassar] [carro] [explicar]
[carro] [explicar] [delegado]
[explicar] [delegado] [repassar]
[delegado] [repassar] [de]
[repassar] [de] [carro]
[de] [carro] [muito]
[carro] [muito] [antigo]
[muito] [antigo] [ser]
[antigo] [ser] [fazer]
[ser] [fazer] [desmanchar]
[fazer] [desmanchar] [em]
[desmanchar] [em] [média]
[em] [média] [modelo]
[média] [modelo] [usado]
[modelo] [usado] [mesmo]
[usado] [mesmo] [fora=de]
[mesmo] [fora=de] [linha]
[fora=de] [linha] [ser]
[linha] [ser] [vender]
[ser] [vender] [por]
[vender] [por] [r]
[por] [r] [não]
[r] [não] [ficar]
[não] [ficar] [noite]
[ficar] [noite] [em]
[noite] [em] [presídio]
[em] [presídio] [além=disso]
[presídio] [além=disso] [juliano]
[além=disso] [juliano] [destacar]
[juliano] [destacar] [impunidade]
[destacar] [impunidade] [também]
[impunidade] [também] [fazer]
[também] [fazer] [com]
[fazer] [com] [crime]
[com] [crime] [de]
[crime] [de] [tipo]
[de] [tipo] [crescer]
[tipo] [crescer] [ser]
[crescer] [ser] [pegar]
[ser] [pegar] [com]
[pegar] [com] [carro]
[com] [carro] [furtar]
[carro] [furtar] [ser]
[furtar] [ser] [prender]
[ser] [prender] [por]
[prender] [por] [receptação]
[por] [receptação] [não]
[receptação] [não] [ficar]
[não] [ficar] [noite]
[ficar] [noite] [em]
[noite] [em] [presídio]
[em] [presídio] [destacar]
[presídio] [destacar] [juliano]
[destacar] [juliano] [receptação]
[juliano] [receptação] [ser]
[receptação] [ser] [crime]
[ser] [crime] [afiançável]
[crime] [afiançável] [dica]
[afiançável] [dica] [não]
[dica] [não] [deixar]
[não] [deixar] [ferramenta]
[deixar] [ferramenta] [objeto]
[ferramenta] [objeto] [de]
[objeto] [de] [valor]
[de] [valor] [dentro=de]
[valor] [dentro=de] [veículo]
[dentro=de] [veículo] [evitar]
[veículo] [evitar] [deixar]
[evitar] [deixar] [carro]
[deixar] [carro] [estacionar]
[carro] [estacionar] [em]
[estacionar] [em] [via]
[em] [via] [público]
[via] [público] [ficar]
[público] [ficar] [muito=tempo]
[ficar] [muito=tempo] [em]
[muito=tempo] [em] [local]
[em] [local] [chamar]
[local] [chamar] [atenção]
[chamar] [atenção] [de]
[atenção] [de] [ladrão]
[de] [ladrão] [investir]
[ladrão] [investir] [em]
[investir] [em] [alarme]
[em] [alarme] [trava]
[alarme] [trava] [corta-corrente]
[trava] [corta-corrente] [saber]
[corta-corrente] [saber] [veículo]
[saber] [veículo] [possuir]
[veículo] [possuir] [equipamento]
[possuir] [equipamento] [de]
[equipamento] [de] [normalmente]
[de] [normalmente] [criminoso]
[normalmente] [criminoso] [procurar]
[criminoso] [procurar] [automóvel]
[procurar] [automóvel] [idade]
[automóvel] [idade] [fazer]
[idade] [fazer] [diferença]
[fazer] [diferença] [ano]
[diferença] [ano] [de]
[ano] [de] [carro]
[de] [carro] [ser]
[carro] [ser] [mais]
[ser] [mais] [diferente]
[mais] [diferente] [alvo]
[diferente] [alvo] [de]
[alvo] [de] [furto]
[de] [furto] [de]
[furto] [de] [alvo]
[de] [alvo] [de]
[alvo] [de] [roubo]
[de] [roubo] [modelo]
[roubo] [modelo] [modelo]
[modelo] [modelo] [antigos]
[modelo] [antigos] [sobretudo]
[antigos] [sobretudo] [fabricar]
[sobretudo] [fabricar] [antes]
[fabricar] [antes] [de]
[antes] [de] [ano]
[de] [ano] [ter]
[ano] [ter] [recurso]
[ter] [recurso] [de]
[recurso] [de] [segurança]
[de] [segurança] [chave]
[segurança] [chave] [codificar]
[chave] [codificar] [cortar]
[codificar] [cortar] [corrente]
[cortar] [corrente] [alarme]
[corrente] [alarme] [tecnologia]
[alarme] [tecnologia] [instalado]
[tecnologia] [instalado] [em]
[instalado] [em] [carro]
[em] [carro] [muito]
[carro] [muito] [moderno]
[muito] [moderno] [tornar]
[moderno] [tornar] [trabalho]
[tornar] [trabalho] [de]
[trabalho] [de] [ladrão]
[de] [ladrão] [muito]
[ladrão] [muito] [difícil]
[muito] [difícil] [para]
[difícil] [para] [levar]
[para] [levar] [modelo]
[levar] [modelo] [de]
[modelo] [de] [ser]
[de] [ser] [quase]
[ser] [quase] [impossível]
[quase] [impossível] [sem]
[impossível] [sem] [chave]
[sem] [chave] [veículo]
[chave] [veículo] [ser]
[veículo] [ser] [colocar]
[ser] [colocar] [em]
[colocar] [em] [guincho]
[em] [guincho] [por]
[guincho] [por] [ladrão]
[por] [ladrão] [tentar]
[ladrão] [tentar] [render]
[tentar] [render] [vítima]
[render] [vítima] [para]
[vítima] [para] [levar]
[para] [levar] [automóvel]
[levar] [automóvel] [em]
[automóvel] [em] [modelo]
[em] [modelo] [muito]
[modelo] [muito] [antigo]
[muito] [antigo] [abrir]
[antigo] [abrir] [carro]
[abrir] [carro] [fazer]
[carro] [fazer] [ligação]
[fazer] [ligação] [direto]
[ligação] [direto] [ser]
[direto] [ser] [muito]
[ser] [muito] [fácil]
[muito] [fácil] [por]
[fácil] [por] [não]
[por] [não] [haver]
[não] [haver] [necessidade]
[haver] [necessidade] [de]
[necessidade] [de] [criminoso]
[de] [criminoso] [render]
[criminoso] [render] [motorista]
[render] [motorista] [ataque]
[motorista] [ataque] [a]
[ataque] [a] [veículo]
[a] [veículo] [furto]
[veículo] [furto] [roubo]
[furto] [roubo] [dado]
[roubo] [dado] [de]
[dado] [de] [janeiro]
[de] [janeiro] [a]
[janeiro] [a] [setembro]
[a] [setembro] [de]
[setembro] [de] [ano]
[de] [ano] [em]
[ano] [em] [capital]

[texto78] [furto] [de]
[furto] [de] [veículo]
[de] [veículo] [tiroteio]
[veículo] [tiroteio] [em]
[tiroteio] [em] [avenida=protásio=alves]
[em] [avenida=protásio=alves] [em]
[avenida=protásio=alves] [em] [porto=alegre]
[em] [porto=alegre] [deixar]
[porto=alegre] [deixar] [homem]
[deixar] [homem] [ferido]
[homem] [ferido] [vítima]
[ferido] [vítima] [ser]
[vítima] [ser] [socorrer]
[ser] [socorrer] [levar]
[socorrer] [levar] [a]
[levar] [a] [hospital=cristo=redentor]
[a] [hospital=cristo=redentor] [homem]
[hospital=cristo=redentor] [homem] [ser]
[homem] [ser] [balear]
[ser] [balear] [em]
[balear] [em] [avenida=protásio=alves]
[em] [avenida=protásio=alves] [pouco]
[avenida=protásio=alves] [pouco] [antes]
[pouco] [antes] [de]
[antes] [de] [de]
[de] [de] [segunda-feira]
[de] [segunda-feira] [segundo]
[segunda-feira] [segundo] [brigada=militar]
[segundo] [brigada=militar] [ocupante]
[brigada=militar] [ocupante] [de]
[ocupante] [de] [carro]
[de] [carro] [escuro]
[carro] [escuro] [ter]
[escuro] [ter] [passar]
[ter] [passar] [por]
[passar] [por] [local]
[por] [local] [em]
[local] [em] [proximidade]
[em] [proximidade] [de]
[proximidade] [de] [cruzamento]
[de] [cruzamento] [de]
[cruzamento] [de] [protásio]
[de] [protásio] [com]
[protásio] [com] [rua=tenente=ary=tarragô]
[com] [rua=tenente=ary=tarragô] [em]
[rua=tenente=ary=tarragô] [em] [bairro=protásio=alves]
[em] [bairro=protásio=alves] [homem]
[bairro=protásio=alves] [homem] [ferido]
[homem] [ferido] [de=acordo]
[ferido] [de=acordo] [com]
[de=acordo] [com] [20º]
[com] [20º] [bpm]
[20º] [bpm] [ser]
[bpm] [ser] [socorrer]
[ser] [socorrer] [levar]
[socorrer] [levar] [a]
[levar] [a] [hospital=cristo=redentor]

[texto79] [roubo] [em]
[roubo] [em] [capital=lotérica]
[em] [capital=lotérica] [em]
[capital=lotérica] [em] [hipermercado]
[em] [hipermercado] [ser]
[hipermercado] [ser] [roubar]
[ser] [roubar] [em]
[roubar] [em] [zona=norte=homens]
[em] [zona=norte=homens] [armar]
[zona=norte=homens] [armar] [levar]
[armar] [levar] [r]
[levar] [r] [de]
[r] [de] [agência]
[de] [agência] [lotérico]
[agência] [lotérico] [eduardo=torres]
[lotérico] [eduardo=torres] [eduardo.torres@diariogaucho.com.br]
[eduardo=torres] [eduardo.torres@diariogaucho.com.br] [homem]
[eduardo.torres@diariogaucho.com.br] [homem] [armar]
[homem] [armar] [assaltar]
[armar] [assaltar] [em]
[assaltar] [em] [começo]
[em] [começo] [de]
[começo] [de] [tarde]
[de] [tarde] [de]
[tarde] [de] [quarta]
[de] [quarta] [agência]
[quarta] [agência] [lotérico]
[agência] [lotérico] [dentro=de]
[lotérico] [dentro=de] [carrefour]
[dentro=de] [carrefour] [em]
[carrefour] [em] [bairro=passo=d'areia]
[em] [bairro=passo=d'areia] [sem]
[bairro=passo=d'areia] [sem] [resistência]
[sem] [resistência] [grupo]
[resistência] [grupo] [levar]
[grupo] [levar] [r]
[levar] [r] [de]
[r] [de] [estabelecimento]
[de] [estabelecimento] [brigada=militar]
[estabelecimento] [brigada=militar] [ser]
[brigada=militar] [ser] [acionar]
[ser] [acionar] [depois]
[acionar] [depois] [quarteto]
[depois] [quarteto] [deixar]
[quarteto] [deixar] [local]
[deixar] [local] [caso]
[local] [caso] [ser]
[caso] [ser] [apurar]
[ser] [apurar] [por]
[apurar] [por] [9ª]
[por] [9ª] [dp]

[texto80] [roubo] [em]
[roubo] [em] [capita=homem]
[em] [capita=homem] [ser]
[capita=homem] [ser] [matar]
[ser] [matar] [em]
[matar] [em] [portão]
[em] [portão] [de]
[portão] [de] [casa]
[de] [casa] [paulo=ricardo=macieski=júnior]
[casa] [paulo=ricardo=macieski=júnior] [ser]
[paulo=ricardo=macieski=júnior] [ser] [chamar]
[ser] [chamar] [por]
[chamar] [por] [executor]
[por] [executor] [em]
[executor] [em] [bairro=piratini]
[em] [bairro=piratini] [em]
[bairro=piratini] [em] [alvorada=eduardo=torres]
[em] [alvorada=eduardo=torres] [eduardo.torres@diariogaucho.com.br]
[alvorada=eduardo=torres] [eduardo.torres@diariogaucho.com.br] [polícia]
[eduardo.torres@diariogaucho.com.br] [polícia] [apurar]
[polícia] [apurar] [circunstância]
[apurar] [circunstância] [em]
[circunstância] [em] [paulo=ricardo=macieski=júnior]
[em] [paulo=ricardo=macieski=júnior] [ano]
[paulo=ricardo=macieski=júnior] [ano] [ser]
[ano] [ser] [matar]
[ser] [matar] [em]
[matar] [em] [noite]
[em] [noite] [de]
[noite] [de] [sábado]
[de] [sábado] [em]
[sábado] [em] [portão]
[em] [portão] [de]
[portão] [de] [casa]
[de] [casa] [em]
[casa] [em] [rua=são=pedro]
[em] [rua=são=pedro] [bairro=piratini]
[rua=são=pedro] [bairro=piratini] [em]
[bairro=piratini] [em] [alvorada]
[em] [alvorada] [de=acordo]
[alvorada] [de=acordo] [com]
[de=acordo] [com] [brigada=militar]
[com] [brigada=militar] [rapaz]
[brigada=militar] [rapaz] [estar]
[rapaz] [estar] [dentro=de]
[estar] [dentro=de] [casa]
[dentro=de] [casa] [com]
[casa] [com] [esposa]
[com] [esposa] [por=volta=de]
[esposa] [por=volta=de] [min]
[por=volta=de] [min] [quando]
[min] [quando] [ser]
[quando] [ser] [chamar]
[ser] [chamar] [por]
[chamar] [por] [homem]
[por] [homem] [armar]
[homem] [armar] [em]
[armar] [em] [rua]
[em] [rua] [a]
[rua] [a] [atender]
[a] [atender] [ser]
[atender] [ser] [executar]
[ser] [executar] [a]
[executar] [a] [tiro]
[a] [tiro] [paulo=ricardo]
[tiro] [paulo=ricardo] [não]
[paulo=ricardo] [não] [ter]
[não] [ter] [antecedente]
[ter] [antecedente] [criminal]
[antecedente] [criminal] [ainda]
[criminal] [ainda] [não]
[ainda] [não] [haver]
[não] [haver] [suspeito]
[haver] [suspeito] [caso]
[suspeito] [caso] [ser]
[caso] [ser] [apurar]
[ser] [apurar] [por]
[apurar] [por] [1ª]
[por] [1ª] [dp]
[1ª] [dp] [de]
[dp] [de] [alvorada]

[texto81] [homicídio=homem] [de]
[homicídio=homem] [de] [ano]
[de] [ano] [ser]
[ano] [ser] [matar]
[ser] [matar] [em]
[matar] [em] [vila=são=borja]
[em] [vila=são=borja] [em]
[vila=são=borja] [em] [zona=norte=da=capital]
[em] [zona=norte=da=capital] [vítima]
[zona=norte=da=capital] [vítima] [identificar]
[vítima] [identificar] [como]
[identificar] [como] [gerson=luis=gauze]
[como] [gerson=luis=gauze] [ser]
[gerson=luis=gauze] [ser] [matar]
[ser] [matar] [com]
[matar] [com] [golpe]
[com] [golpe] [em]
[golpe] [em] [cabeça]
[em] [cabeça] [eduardo=torres]
[cabeça] [eduardo=torres] [eduardo.torres@diariogaucho.com.br]
[eduardo=torres] [eduardo.torres@diariogaucho.com.br] [homem]
[eduardo.torres@diariogaucho.com.br] [homem] [ser]
[homem] [ser] [encontrar]
[ser] [encontrar] [matar]
[encontrar] [matar] [em]
[matar] [em] [travessa=tupi]
[em] [travessa=tupi] [vila=são=borja]
[travessa=tupi] [vila=são=borja] [em]
[vila=são=borja] [em] [zona=norte=da=capital]
[em] [zona=norte=da=capital] [em]
[zona=norte=da=capital] [em] [tarde]
[em] [tarde] [de]
[tarde] [de] [terça-feira]
[de] [terça-feira] [vítima]
[terça-feira] [vítima] [ser]
[vítima] [ser] [identificar]
[ser] [identificar] [como]
[identificar] [como] [gerson=luis=gauze]
[como] [gerson=luis=gauze] [de]
[gerson=luis=gauze] [de] [ano]
[de] [ano] [de=acordo]
[ano] [de=acordo] [com]
[de=acordo] [com] [investigação]
[com] [investigação] [homem]
[investigação] [homem] [ser]
[homem] [ser] [matar]
[ser] [matar] [com]
[matar] [com] [golpe]
[com] [golpe] [em]
[golpe] [em] [cabeça]
[em] [cabeça] [suspeita]
[cabeça] [suspeita] [ser]
[suspeita] [ser] [de]
[ser] [de] [homicídio]
[de] [homicídio] [ter]
[homicídio] [ter] [ser]
[ter] [ser] [motivar]
[ser] [motivar] [por]
[motivar] [por] [desentendimento]
[por] [desentendimento] [em]
[desentendimento] [em] [bar]
[em] [bar] [em]
[bar] [em] [proximidade]
[em] [proximidade] [de]
[proximidade] [de] [local]
[de] [local] [de]
[local] [de] [crime]
[de] [crime] [ocorrência]
[crime] [ocorrência] [estar]
[ocorrência] [estar] [ser]
[estar] [ser] [investigar]
[ser] [investigar] [por]
[investigar] [por] [3ª]
[por] [3ª] [dhpp]
[3ª] [dhpp] [de]
[dhpp] [de] [bairro]
[de] [bairro] [sarandi]
[bairro] [sarandi] [polícia]
[sarandi] [polícia] [estar]
[polícia] [estar] [em]
[estar] [em] [local]
[em] [local] [já]
[local] [já] [haver]
[já] [haver] [suspeito]
[haver] [suspeito] [para]
[suspeito] [para] [crime]
[para] [crime] [ler]
[crime] [ler] [homem]
[ler] [homem] [ser]
[homem] [ser] [assassinar]
[ser] [assassinar] [a]
[assassinar] [a] [tiro]
[a] [tiro] [em]
[tiro] [em] [bairro=sarandi]
[em] [bairro=sarandi] [em]
[bairro=sarandi] [em] [porto=alegre]
[em] [porto=alegre] [após]
[porto=alegre] [após] [discussão]
[após] [discussão] [homem]
[discussão] [homem] [ser]
[homem] [ser] [matar]
[ser] [matar] [a]
[matar] [a] [tiro]
[a] [tiro] [em]
[tiro] [em] [vila=respeito]
[em] [vila=respeito] [bairro=sarandi]

[texto82] [preso] [em]
[preso] [em] [restinga=acusado]
[em] [restinga=acusado] [de]
[restinga=acusado] [de] [matar]
[de] [matar] [policial]
[matar] [policial] [ser]
[policial] [ser] [capturar]
[ser] [capturar] [em]
[capturar] [em] [zona=sul]
[em] [zona=sul] [de]
[zona=sul] [de] [capital=michel=dos=santos]
[de] [capital=michel=dos=santos] [estar]
[capital=michel=dos=santos] [estar] [foragido]
[estar] [foragido] [em]
[foragido] [em] [matar]
[em] [matar] [escrivão]
[matar] [escrivão] [de]
[escrivão] [de] [polícia]
[de] [polícia] [durante]
[polícia] [durante] [assalto]
[durante] [assalto] [em]
[assalto] [em] [viamão=eduardo=torres]
[em] [viamão=eduardo=torres] [eduardo.torres@diariogaucho.com.br]
[viamão=eduardo=torres] [eduardo.torres@diariogaucho.com.br] [foi]
[eduardo.torres@diariogaucho.com.br] [foi] [prender]
[foi] [prender] [em]
[prender] [em] [manhã]
[em] [manhã] [de]
[manhã] [de] [quinta]
[de] [quinta] [em]
[quinta] [em] [bairro=restinga]
[em] [bairro=restinga] [zona=sul=da=capital]
[bairro=restinga] [zona=sul=da=capital] [foragido]
[zona=sul=da=capital] [foragido] [michel=dos=santos]
[foragido] [michel=dos=santos] [ano]
[michel=dos=santos] [ano] [ser]
[ano] [ser] [procurar]
[ser] [procurar] [em]
[procurar] [em] [viamão]
[em] [viamão] [estar]
[viamão] [estar] [esconder]
[estar] [esconder] [em]
[esconder] [em] [último]
[em] [último] [dia]
[último] [dia] [em]
[dia] [em] [bairro]
[em] [bairro] [desde=então]
[bairro] [desde=então] [policial]
[desde=então] [policial] [de]
[policial] [de] [21º]
[de] [21º] [bpm]
[21º] [bpm] [buscar]
[bpm] [buscar] [pista]
[buscar] [pista] [sobre]
[pista] [sobre] [michel]
[sobre] [michel] [acabar]
[michel] [acabar] [abordar]
[acabar] [abordar] [em]
[abordar] [em] [avenida=joão=antônio=da=silveira]
[em] [avenida=joão=antônio=da=silveira] [principal]
[avenida=joão=antônio=da=silveira] [principal] [de]
[principal] [de] [restinga]
[de] [restinga] [michel]
[restinga] [michel] [ter]
[michel] [ter] [condenação]
[ter] [condenação] [por]
[condenação] [por] [morte]
[por] [morte] [de]
[morte] [de] [escrivão]
[de] [escrivão] [de]
[escrivão] [de] [polícia]
[de] [polícia] [antônio=aldonir=rolim]
[polícia] [antônio=aldonir=rolim] [ocorrer]
[antônio=aldonir=rolim] [ocorrer] [em]
[ocorrer] [em] [dezembro]
[em] [dezembro] [de]
[dezembro] [de] [dentro=de]
[de] [dentro=de] [mercado]
[dentro=de] [mercado] [em]
[mercado] [em] [vila=planalto]
[em] [vila=planalto] [em]
[vila=planalto] [em] [viamão]
[em] [viamão] [policial]
[viamão] [policial] [ser]
[policial] [ser] [assassinar]
[ser] [assassinar] [com]
[assassinar] [com] [tiro]
[com] [tiro] [durante]
[tiro] [durante] [assalto]
[durante] [assalto] [michel]
[assalto] [michel] [ser]
[michel] [ser] [apresentar]
[ser] [apresentar] [em]
[apresentar] [em] [2ª]
[em] [2ª] [dppa]

[texto83] [homicídio] [em]
[homicídio] [em] [capital=jovem]
[em] [capital=jovem] [executar]
[capital=jovem] [executar] [a]
[executar] [a] [tiro]
[a] [tiro] [em]
[tiro] [em] [zona=sul]
[em] [zona=sul] [de]
[zona=sul] [de] [porto=alegre]
[de] [porto=alegre] [dionata=da=silva=pacheco]
[porto=alegre] [dionata=da=silva=pacheco] [ano]
[dionata=da=silva=pacheco] [ano] [ser]
[ano] [ser] [matar]
[ser] [matar] [com]
[matar] [com] [tiro]
[com] [tiro] [em]
[tiro] [em] [bairro=aberta=dos=morros=eduardo=torres]
[em] [bairro=aberta=dos=morros=eduardo=torres] [eduardo.torres@diariogaucho.com.br]
[bairro=aberta=dos=morros=eduardo=torres] [eduardo.torres@diariogaucho.com.br] [jovem]
[eduardo.torres@diariogaucho.com.br] [jovem] [identificar]
[jovem] [identificar] [como]
[identificar] [como] [dionata=da=silva=pacheco]
[como] [dionata=da=silva=pacheco] [ano]
[dionata=da=silva=pacheco] [ano] [ser]
[ano] [ser] [executar]
[ser] [executar] [a]
[executar] [a] [tiro]
[a] [tiro] [em]
[tiro] [em] [começo]
[em] [começo] [de]
[começo] [de] [madrugada]
[de] [madrugada] [de]
[madrugada] [de] [segunda-feira]
[de] [segunda-feira] [em]
[segunda-feira] [em] [zona=sul=da=capital]
[em] [zona=sul=da=capital] [ter]
[zona=sul=da=capital] [ter] [ser]
[ter] [ser] [surpreender]
[ser] [surpreender] [por]
[surpreender] [por] [homem]
[por] [homem] [em]
[homem] [em] [moto]
[em] [moto] [em]
[moto] [em] [esquina]
[em] [esquina] [entre]
[esquina] [entre] [avenida=juca=batista]
[entre] [avenida=juca=batista] [rua=gedeon=leite]
[avenida=juca=batista] [rua=gedeon=leite] [em]
[rua=gedeon=leite] [em] [bairro=aberta=dos=morros]
[em] [bairro=aberta=dos=morros] [carona]
[bairro=aberta=dos=morros] [carona] [de]
[carona] [de] [moto]
[de] [moto] [ter]
[moto] [ter] [atirar]
[ter] [atirar] [vez]
[atirar] [vez] [contra]
[vez] [contra] [dionata]
[contra] [dionata] [de=acordo]
[dionata] [de=acordo] [com]
[de=acordo] [com] [delegado]
[com] [delegado] [adjunto]
[delegado] [adjunto] [de]
[adjunto] [de] [4ª]
[de] [4ª] [dhpp]
[4ª] [dhpp] [rodrigo=pohlmann]
[dhpp] [rodrigo=pohlmann] [investigar]
[rodrigo=pohlmann] [investigar] [caso]
[investigar] [caso] [dionata]
[caso] [dionata] [ser]
[dionata] [ser] [interno]
[ser] [interno] [de]
[interno] [de] [fase]
[de] [fase] [por]
[fase] [por] [envolvimento]
[por] [envolvimento] [com]
[envolvimento] [com] [tráfico]
[com] [tráfico] [família]
[tráfico] [família] [afirmar]
[família] [afirmar] [a]
[afirmar] [a] [policial]
[a] [policial] [no=entanto]
[policial] [no=entanto] [haver]
[no=entanto] [haver] [afastar]
[haver] [afastar] [de]
[afastar] [de] [criminalidade]

[texto84] [homicídio] [em]
[homicídio] [em] [viamão=jovem]
[em] [viamão=jovem] [ser]
[viamão=jovem] [ser] [executar]
[ser] [executar] [por]
[executar] [por] [tráfico]
[por] [tráfico] [em]
[tráfico] [em] [vila=augusta]
[em] [vila=augusta] [em]
[vila=augusta] [em] [viamão=corpo]
[em] [viamão=corpo] [ser]
[viamão=corpo] [ser] [encontrar]
[ser] [encontrar] [em]
[encontrar] [em] [rua=nárgica=rodrigues=de=castro]
[em] [rua=nárgica=rodrigues=de=castro] [ter]
[rua=nárgica=rodrigues=de=castro] [ter] [ser]
[ter] [ser] [matar]
[ser] [matar] [junto]
[matar] [junto] [a]
[junto] [a] [ponto]
[a] [ponto] [de]
[ponto] [de] [tráfico]
[de] [tráfico] [em]
